gameId,teamName,Q,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,points,resultado
22000009,Clippers,2,11,21,6,13,12,14,5,9,8,3,1,4,7,40,W
22000009,Clippers,3,10,18,4,8,2,2,1,7,7,1,2,6,10,26,W
22000009,Clippers,4,10,17,3,7,0,0,0,5,7,1,1,2,4,23,W
22000009,Nuggets,1,8,17,2,6,8,10,2,4,7,3,0,5,5,26,L
22000009,Nuggets,2,9,17,2,8,9,12,0,5,8,1,1,4,10,29,L
22000009,Nuggets,3,8,25,2,10,6,9,5,7,4,2,0,2,3,24,L
22000009,Nuggets,4,12,22,5,12,0,0,3,6,6,1,0,2,2,29,L
22000010,Cavaliers,1,9,22,2,8,4,5,4,12,8,3,2,4,4,24,W
22000010,Cavaliers,2,17,23,3,6,4,4,1,10,12,3,0,2,4,41,W
22000010,Cavaliers,3,10,24,5,9,3,6,3,9,8,3,1,5,6,28,W
22000010,Cavaliers,4,10,18,4,7,4,5,2,9,6,3,0,7,8,28,W
22000010,Hornets,1,10,24,3,11,0,1,3,7,9,4,2,3,4,23,L
22000010,Hornets,2,9,19,0,4,3,5,1,3,7,2,1,5,5,21,L
22000010,Hornets,3,13,24,8,16,2,3,2,9,7,2,1,3,4,36,L
22000010,Hornets,4,13,23,5,13,3,6,2,5,6,2,0,4,4,34,L
22000011,Knicks,1,12,22,5,8,4,4,1,8,8,5,1,7,9,33,L
22000011,Knicks,2,12,21,3,7,6,7,0,10,7,2,2,3,5,33,L
22000011,Knicks,3,6,22,3,7,1,2,2,10,4,0,4,3,6,16,L
22000011,Knicks,4,9,20,1,6,6,10,2,7,6,1,1,3,7,25,L
22000011,Pacers,1,13,24,2,9,7,10,2,7,6,3,3,5,3,35,W
22000011,Pacers,2,10,23,2,10,4,6,2,9,7,2,1,4,8,26,W
22000011,Pacers,3,12,27,1,6,2,3,3,14,8,0,4,0,4,27,W
22000011,Pacers,4,11,20,3,9,8,10,3,10,7,1,1,4,9,33,W
22000012,Heat,1,11,21,4,6,3,4,1,8,8,5,1,5,2,29,L
22000012,Heat,2,10,18,1,2,3,3,1,6,5,3,1,7,5,24,L
22000012,Heat,3,10,20,1,6,9,10,1,14,5,1,0,4,3,30,L
22000012,Heat,4,11,24,1,6,1,2,4,8,7,2,0,6,11,24,L
22000012,Magic,1,12,22,2,7,1,3,2,8,6,5,1,7,4,27,W
22000012,Magic,2,12,24,2,5,3,6,4,5,5,4,1,3,4,29,W
22000012,Magic,3,8,23,2,8,5,6,1,9,4,3,0,4,8,23,W
22000012,Magic,4,10,19,4,8,10,15,4,8,8,3,1,3,3,34,W
22000013,76ers,1,14,25,2,4,0,2,2,11,6,3,3,4,2,30,W
22000013,76ers,2,9,18,4,8,6,8,0,9,7,2,2,5,8,28,W
22000013,76ers,3,5,22,1,10,4,5,5,9,3,5,1,7,9,15,W
22000013,76ers,4,13,22,1,6,13,15,3,8,6,1,2,0,6,40,W
22000013,Wizards,1,12,25,2,6,0,1,1,9,8,3,0,3,3,26,L
22000013,Wizards,2,11,21,6,9,5,7,0,10,10,2,0,5,9,33,L
22000013,Wizards,3,8,17,3,6,5,7,0,11,6,2,3,8,5,24,L
22000013,Wizards,4,8,22,2,6,6,8,4,5,4,0,1,3,9,24,L
22000014,Pelicans,1,10,24,1,8,2,8,4,8,9,5,2,6,5,23,W
22000014,Pelicans,2,9,17,7,14,2,4,1,9,7,2,1,8,6,27,W
22000014,Pelicans,3,14,20,7,8,3,4,2,12,6,1,1,4,1,38,W
22000014,Pelicans,4,9,19,4,12,3,4,1,8,8,5,3,6,5,25,W
22000014,Raptors,1,10,21,3,10,3,4,1,12,6,3,2,7,7,26,L
22000014,Raptors,2,11,24,8,14,1,2,2,5,9,2,1,5,6,31,L
22000014,Raptors,3,11,25,0,10,0,0,1,5,7,1,1,1,3,22,L
22000014,Raptors,4,6,19,3,12,5,6,3,6,4,4,1,7,6,20,L
22000015,Bulls,1,10,25,2,11,7,8,4,6,5,2,1,4,7,29,L
22000015,Bulls,2,11,24,4,10,4,4,3,7,6,2,0,6,7,30,L
22000015,Bulls,3,6,20,0,8,8,10,0,8,4,4,1,3,6,20,L
22000015,Bulls,4,9,18,2,6,5,6,1,8,5,2,1,2,2,25,L
22000015,Hawks,1,16,23,3,9,7,9,1,9,7,2,0,2,5,42,W
22000015,Hawks,2,13,20,7,11,8,9,1,9,8,2,1,6,5,41,W
22000015,Hawks,3,8,17,3,9,9,10,1,13,6,1,1,7,11,28,W
22000015,Hawks,4,6,20,1,6,0,1,5,7,3,1,1,6,8,13,W
22000016,Rockets,1,10,21,1,7,1,2,0,8,3,1,2,3,4,22,L
22000016,Rockets,2,12,19,8,13,8,9,2,5,11,4,1,4,6,40,L
22000016,Rockets,3,8,17,1,6,6,8,2,7,4,2,0,7,4,23,L
22000016,Rockets,4,9,22,4,12,5,8,4,10,4,0,1,2,6,27,L
22000016,Thunder,1,12,27,2,10,5,5,5,11,7,0,1,2,4,31,W
22000016,Thunder,2,13,19,6,8,3,5,2,4,6,3,0,6,7,35,W
22000016,Thunder,3,10,26,2,11,2,5,9,8,5,4,0,5,5,24,W
22000016,Thunder,4,7,19,3,10,7,10,3,10,4,1,1,3,5,24,W
22000017,Grizzlies,1,13,26,5,11,2,3,0,9,6,2,4,0,4,33,W
